id,name,age,grade,major
1,최민수,22,2,경영학
2,정유진,24,1,기계공학
3,이민수,20,2,경영학
4,장예나,20,2,기계공학
5,강승현,24,3,컴퓨터공학
6,한하린,22,3,경영학
7,윤지훈,20,1,기계공학
8,최서연,22,3,컴퓨터공학
9,백민지,20,4,컴퓨터공학
10,서수빈,24,3,경영학
11,박지은,21,3,컴퓨터공학
12,강유진,23,3,기계공학
13,문지민,22,3,경영학
14,조준영,24,2,경영학
15,한승현,23,3,경영학
16,오지은,21,1,전자공학
17,임민재,20,2,전자공학
18,윤예린,23,4,경영학
19,조현우,21,3,기계공학
20,노도윤,22,2,경영학
21,장예린,20,1,컴퓨터공학
22,정지민,23,1,기계공학
23,임예나,23,3,컴퓨터공학
24,최민지,22,3,컴퓨터공학
25,신하린,21,4,컴퓨터공학
26,조태호,21,1,전자공학
27,장예나,21,2,전자공학
28,한민지,24,1,전자공학
29,권민수,20,3,전자공학
30,강지은,21,1,컴퓨터공학
